Kategorie: Alle Kategorien

Tag,Bitcoin: (Weltweit)
2020-02-29,29
2020-03-01,29
2020-03-02,32
2020-03-03,30
2020-03-04,31
2020-03-05,33
2020-03-06,32
2020-03-07,28
2020-03-08,31
2020-03-09,52
2020-03-10,41
2020-03-11,35
2020-03-12,75
2020-03-13,100
2020-03-14,65
2020-03-15,54
2020-03-16,70
2020-03-17,59
2020-03-18,55
2020-03-19,60
2020-03-20,59
2020-03-21,50
2020-03-22,45
2020-03-23,48
2020-03-24,50
2020-03-25,46
2020-03-26,41
2020-03-27,40
2020-03-28,40
2020-03-29,39
2020-03-30,38
2020-03-31,35
2020-04-01,36
2020-04-02,41
2020-04-03,39
2020-04-04,35
2020-04-05,34
2020-04-06,41
2020-04-07,42
2020-04-08,38
2020-04-09,37
2020-04-10,40
2020-04-11,36
2020-04-12,35
2020-04-13,38
2020-04-14,36
2020-04-15,36
2020-04-16,38
2020-04-17,36
2020-04-18,35
2020-04-19,35
2020-04-20,35
2020-04-21,36
2020-04-22,34
2020-04-23,39
2020-04-24,38
2020-04-25,39
2020-04-26,38
2020-04-27,39
2020-04-28,39
2020-04-29,53
2020-04-30,63
2020-05-01,50
2020-05-02,45
2020-05-03,48
2020-05-04,45
2020-05-05,44
2020-05-06,50
2020-05-07,60
2020-05-08,67
2020-05-09,59
2020-05-10,76
2020-05-11,89
2020-05-12,67
2020-05-13,55
2020-05-14,57
2020-05-15,48
2020-05-16,45
2020-05-17,47
